,PY_PPR_Points,PY_Tgt,PY_Rec,PY_Yds,PY_AY,PY_YAC,PY_TD,PY_aDOT,PY_RACR,PY_MS_AY,PY_TGT_Share,PY_WOPR,PY_UAY,PY_Catch_Rate,PY_Yds/TGT,PY_YPR,PY_AY/Tgt,PY_AY/Rec,PY_UAY/Tgt,PY_UAY/Rec,PY_YAC/Tgt,PY_YAC/Rec
0,35.0,27,20,147,234,58,0,8.67,0.63,0.11,0.08,0.2,145,74.07,5.44,7.35,8.67,11.7,5.37,7.25,2.15,2.9
1,13.9,18,7,69,250,19,0,13.89,0.28,0.18,0.12,0.31,200,38.89,3.83,9.86,13.89,35.71,11.11,28.57,1.06,2.71
4,133.3,72,41,607,800,235,5,11.11,0.76,0.19,0.14,0.35,428,56.94,8.43,14.8,11.11,19.51,5.94,10.44,3.26,5.73
6,95.1,46,31,339,409,126,5,8.89,0.83,0.11,0.1,0.23,196,67.39,7.37,10.94,8.89,13.19,4.26,6.32,2.74,4.06
11,134.0,71,49,670,1011,219,3,14.24,0.66,0.29,0.2,0.51,560,69.01,9.44,13.67,14.24,20.63,7.89,11.43,3.08,4.47
23,143.1,64,42,651,870,190,6,13.59,0.75,0.32,0.15,0.45,409,65.62,10.17,15.5,13.59,20.71,6.39,9.74,2.97,4.52
28,188.3,89,58,860,1149,275,7,12.91,0.75,0.38,0.21,0.58,564,65.17,9.66,14.83,12.91,19.81,6.34,9.72,3.09,4.74
32,235.2,110,82,1057,1364,308,8,12.4,0.77,0.28,0.21,0.51,615,74.55,9.61,12.89,12.4,16.63,5.59,7.5,2.8,3.76
37,226.9,148,90,1046,1186,423,5,8.01,0.88,0.25,0.24,0.53,563,60.81,7.07,11.62,8.01,13.18,3.8,6.26,2.86,4.7
41,51.8,47,26,198,324,61,1,6.89,0.61,0.12,0.13,0.29,187,55.32,4.21,7.62,6.89,12.46,3.98,7.19,1.3,2.35
43,28.6,10,7,83,82,55,0,8.2,1.01,0.04,0.04,0.08,54,70.0,8.3,11.86,8.2,11.71,5.4,7.71,5.5,7.86
51,12.0,13,4,80,195,10,0,15.0,0.41,0.07,0.04,0.11,125,30.77,6.15,20.0,15.0,48.75,9.62,31.25,0.77,2.5
53,71.4,25,18,234,226,111,5,9.04,1.04,0.09,0.07,0.16,103,72.0,9.36,13.0,9.04,12.56,4.12,5.72,4.44,6.17
