,full_name,Year,2019_PPR_Points,Tgt,Rec,Yds,AY,YAC,TD,aDOT,RACR,MS_AY,TGT_Share,WOPR,UAY,Catch_Rate,Yds/TGT,YPR,AY/Tgt,AY/Rec,UAY/Tgt,UAY/Rec,YAC/Tgt,YAC/Rec,2019_PPR_Rank,2020_Model_Ranks,Rank_Differential
886,Christian Kirk,2019,166.2,108,68,709,1079,286,3,9.99,0.66,0.31,0.23,0.56,656,62.96,6.56,10.43,9.99,15.87,6.07,9.65,2.65,4.21,32.0,1.0,31.0
28,Tyreek Hill,2019,188.3,89,58,860,1149,275,7,12.91,0.75,0.38,0.21,0.58,564,65.17,9.66,14.83,12.91,19.81,6.34,9.72,3.09,4.74,28.0,2.0,26.0
844,D.J. Chark,2019,223.8,118,73,1008,1358,329,8,11.51,0.74,0.33,0.21,0.55,679,61.86,8.54,13.81,11.51,18.6,5.75,9.3,2.79,4.51,18.0,3.0,15.0
11,Will Fuller,2019,134.0,71,49,670,1011,219,3,14.24,0.66,0.29,0.2,0.51,560,69.01,9.44,13.67,14.24,20.63,7.89,11.43,3.08,4.47,45.0,4.0,41.0
803,Davante Adams,2019,212.7,127,83,997,1270,388,5,10.0,0.79,0.33,0.29,0.67,661,65.35,7.85,12.01,10.0,15.3,5.2,7.96,3.06,4.67,22.5,5.0,17.5
253,Odell Beckham,2019,202.5,133,74,1035,1801,326,4,13.54,0.57,0.38,0.25,0.63,1092,55.64,7.78,13.99,13.54,24.34,8.21,14.76,2.45,4.41,24.0,6.0,18.0
1053,Allen Robinson,2019,254.9,154,98,1147,1750,272,7,11.36,0.66,0.39,0.27,0.67,875,63.64,7.45,11.7,11.36,17.86,5.68,8.93,1.77,2.78,7.0,7.0,0.0
930,Calvin Ridley,2019,195.0,93,63,866,1246,138,7,13.4,0.7,0.27,0.17,0.44,518,67.74,9.31,13.75,13.4,19.78,5.57,8.22,1.48,2.19,26.0,8.0,18.0
188,Robby Anderson,2019,160.3,96,52,779,1402,193,5,14.6,0.56,0.34,0.18,0.52,816,54.17,8.11,14.98,14.6,26.96,8.5,15.69,2.01,3.71,34.0,9.0,25.0
786,DeAndre Hopkins,2019,264.3,150,104,1165,1580,387,7,10.53,0.74,0.34,0.3,0.69,802,69.33,7.77,11.2,10.53,15.19,5.35,7.71,2.58,3.72,5.0,10.0,-5.0
608,Jamison Crowder,2019,197.7,122,78,833,975,358,6,7.99,0.85,0.24,0.23,0.52,500,63.93,6.83,10.68,7.99,12.5,4.1,6.41,2.93,4.59,25.0,11.0,14.0
37,Tyler Boyd,2019,226.9,148,90,1046,1186,423,5,8.01,0.88,0.25,0.24,0.53,563,60.81,7.07,11.62,8.01,13.18,3.8,6.26,2.86,4.7,17.0,12.0,5.0
613,James Washington,2019,135.5,80,44,735,1266,185,3,15.82,0.58,0.32,0.16,0.47,716,55.0,9.19,16.7,15.82,28.77,8.95,16.27,2.31,4.2,44.0,13.0,31.0
907,Chris Conley,2019,154.5,90,47,775,1276,252,5,14.18,0.61,0.29,0.15,0.43,753,52.22,8.61,16.49,14.18,27.15,8.37,16.02,2.8,5.36,36.0,14.0,22.0
547,John Brown,2019,214.7,115,72,1060,1688,210,6,14.68,0.63,0.38,0.24,0.63,838,62.61,9.22,14.72,14.68,23.44,7.29,11.64,1.83,2.92,21.0,15.0,6.0
492,Julian Edelman,2019,250.4,153,100,1117,1473,320,6,9.63,0.76,0.3,0.25,0.58,676,65.36,7.3,11.17,9.63,14.73,4.42,6.76,2.09,3.2,8.0,16.0,-8.0
32,Tyler Lockett,2019,235.2,110,82,1057,1364,308,8,12.4,0.77,0.28,0.21,0.51,615,74.55,9.61,12.89,12.4,16.63,5.59,7.5,2.8,3.76,13.0,17.0,-4.0
445,Keenan Allen,2019,261.5,149,104,1199,1501,374,6,10.07,0.8,0.3,0.25,0.58,676,69.8,8.05,11.53,10.07,14.43,4.54,6.5,2.51,3.6,6.0,18.0,-12.0
346,Marvin Jones,2019,193.9,91,62,779,1189,106,9,13.07,0.66,0.26,0.19,0.47,516,68.13,8.56,12.56,13.07,19.18,5.67,8.32,1.16,1.71,27.0,19.0,8.0
647,Golden Tate,2019,154.2,85,49,676,827,284,6,9.73,0.82,0.24,0.21,0.48,435,57.65,7.95,13.8,9.73,16.88,5.12,8.88,3.34,5.8,37.0,20.0,17.0
