,full_name,position,team,targets,rec,rec_yards,air_yards,yac,td,adot,racr,ms_air,tgt_share,wopr,ppr
1,Larry Fitzgerald,WR,ARI,154,97,1092,1779,312,13,11.6,0.61,0.39,0.26,0.66,284.2
2,Brandon Marshall,WR,DEN,154,101,1120,1367,515,10,8.9,0.82,0.4,0.31,0.74,276.9
3,DeSean Jackson,WR,PHI,118,63,1167,1599,404,9,13.6,0.73,0.36,0.22,0.59,253.4
4,Mike Wallace,WR,PIT,72,39,756,1359,143,6,18.9,0.56,0.27,0.13,0.39,155.4
5,Jeremy Maclin,WR,PHI,90,55,762,1057,241,4,11.7,0.72,0.27,0.2,0.48,154.5
6,Pierre Garcon,WR,IND,92,47,765,1299,284,4,14.1,0.59,0.28,0.17,0.46,148.5
7,Kenny Britt,WR,TEN,75,42,701,997,180,3,13.3,0.7,0.25,0.16,0.42,130.1
8,Michael Crabtree,WR,SF,86,48,625,929,219,2,10.8,0.67,0.36,0.22,0.59,122.5
9,Ted Ginn,WR,MIA,78,38,454,1239,43,1,15.9,0.37,0.27,0.14,0.4,94.2
10,Danny Amendola,WR,STL,63,43,326,324,186,1,5.1,1.01,0.1,0.13,0.27,81.4
11,Julian Edelman,WR,NE,54,37,359,179,257,1,3.3,2.01,0.06,0.14,0.26,79.4
12,Jordy Nelson,WR,GB,31,22,320,374,89,2,12.1,0.86,0.09,0.07,0.17,66
13,Darrius Heyward-Bey,WR,OAK,40,9,124,637,12,1,15.9,0.19,0.22,0.13,0.35,29.3
14,Eric Weems,WR,ATL,6,6,50,28,22,2,4.7,1.79,0.01,0.01,0.02,28.3
15,Brandon Tate,WR,NE,2,0,0,73,0,0,36.5,0,0.12,0.03,0.13,1.1
16,Matthew Slater,WR,NE,0,0,0,0,0,0,NA,NA,0,0,0,0.6
